,expense_per_sqft,gross_income_per_sqft,market_value_per_sqft,neighborhood,bbl
374,10.65,33.25,170.64,GREENWICH VILLAGE-WEST,1005880007
375,10.88,31.99,159.41,GREENWICH VILLAGE-WEST,1005880043
376,10.08,36.36,198.43,GREENWICH VILLAGE-WEST,1005890014
377,10.68,40.8,227.41,GREENWICH VILLAGE-WEST,1005900011
378,9.96,31.21,160.45,GREENWICH VILLAGE-WEST,1005900079
379,8.62,33.62,188.75,GREENWICH VILLAGE-WEST,1005910026
380,3.9,36.09,243.06,GREENWICH VILLAGE-WEST,1005910049
381,11.69,38.84,204.98,GREENWICH VILLAGE-WEST,1005920066
382,10.14,39.42,221.11,GREENWICH VILLAGE-WEST,1005930003
383,9.95,29.22,145.5,SOHO,1005950006
384,8.25,25.48,129.84,SOHO,1005950011
385,8.15,25.4,129.93,SOHO,1005950016
386,10.67,29.92,145.36,SOHO,1005950041
387,9.64,37.35,209.19,SOHO,1005970045
388,10.98,37.95,203.62,GREENWICH VILLAGE-WEST,1006020030
389,10.17,37.84,208.91,GREENWICH VILLAGE-WEST,1006030037
390,9.96,31.21,160.44,GREENWICH VILLAGE-WEST,1006060047
391,11.5,42.35,232.92,GREENWICH VILLAGE-WEST,1006070038
392,13.59,44.36,232.29,GREENWICH VILLAGE-WEST,1006070051
393,12.87,32.85,150.91,GREENWICH VILLAGE-WEST,1006080021
394,10.42,32.55,167.08,GREENWICH VILLAGE-WEST,1006080039
395,6.53,29.7,174.92,GREENWICH VILLAGE-WEST,1006080053
396,9.2,36.79,208.31,GREENWICH VILLAGE-WEST,1006080060
397,10.06,29.57,147.31,GREENWICH VILLAGE-WEST,1006080074
398,8.99,28.94,150.62,GREENWICH VILLAGE-WEST,1006090001
399,11.56,34.01,169.5,GREENWICH VILLAGE-WEST,1006090047
400,10.04,29.52,147.06,GREENWICH VILLAGE-WEST,1006090065
401,12.51,44.67,242.79,GREENWICH VILLAGE-WEST,1006100048
402,11.09,37.17,196.91,GREENWICH VILLAGE-WEST,1006110065
403,11.43,34.26,172.33,GREENWICH VILLAGE-WEST,1006120066
